D			= 4;

nLocations	= 49;
loc_x		= [27.343 25.02 49.555 51.258 66.082 47.129 61.087 57.546 27.562 49.659 44.65 44.019 56.769 40.84 64.221 38.625 30.026 43.32 63.03 59.421 31.483 66.922 28.055 21.256 27.01 57.72 35.282 33.628 39.992 54.651 53.507 63.064 45.353 33.452 43.677 36.515 29.8 62.663 47.599 37.578 66.386 69.557 24.7 20.156 43.298 53.154 60.718 69.252 34.792];
loc_y		= [52.988 40.481 32.333 28.787 58.842 24.489 56.271 40.038 33.458 61.863 54.343 66.991 59.416 53.135 31.076 20.092 38.697 38.166 22.129 52.364 33.164 47.15 25.72 63.278 47.788 32.544 46.462 64.211 59.232 22.174 47.681 61.759 29.215 26.083 33.457 29.269 68.115 50.032 47.96 49.917 68.942 29.071 34.561 42.726 61.169 55.038 31.676 62.818 23.294];

nCities		= 11;
city_x		= [45.384 41.335 48.895 47.358 41.115 40.521 43.908 48.398 47.634 43.58 45.935];
city_y		= [46.932 45.272 40.325 42.577 40.863 40.546 46.975 44.877 43.686 40.451 41.087];
city_pop	= [96 64 7 89 93 28 7 52 67 83 20];

nCentres	= 3;
work_dist	= [58.056 59.746 53.698];
centre_cap	= [116 111 114];
instal_cost	= [637.443 746.2 76.6];

