D			= 5;

nLocations	= 46;
loc_x		= [45.174 64.44 58.158 57.55 21.981 19.194 68.754 33.613 52.785 36.973 48.826 71.356 31.797 39.464 40.872 62.251 57.103 61.113 42.212 57.43 48.162 30.22 27.266 48.585 30.897 15.018 45.435 57.046 53.962 43.757 71.028 62.377 27.744 71.047 66.036 33.851 32.647 21.848 27.039 40.623 70.202 18.756 72.514 28.211 34.512 74.717];
loc_y		= [46.567 64.319 69.105 41.362 47.924 67.036 20.683 61.428 36.055 46.424 69.729 18.758 26.224 50.412 23.376 30.956 18.072 17.122 56.673 30.22 47.786 34.627 26.089 17.939 17.864 52.25 69.355 25.98 55.35 53.412 28.005 71.862 70.759 40.673 37.97 39.458 69.2 29.498 30.404 47.989 36.767 48.313 53.917 44.534 73.196 37.341];

nCities		= 26;
city_x		= [53.489 33.23 57.752 51.491 30.538 55.339 54.214 42.316 34.47 47.705 39.316 35.382 35.44 41.94 55.525 46.364 32.444 56.257 45.16 56.764 36.569 49.491 44.315 46.039 46.007 48.279];
city_y		= [57.636 32.069 53.641 53.082 42.09 49.683 40.427 37.826 43.697 42.954 39.025 49.891 43.955 49.627 41.653 32.032 47.928 46.417 55.3 58.22 50.362 58.008 44.263 56.266 37.252 36.109];
city_pop	= [76 218 185 193 233 187 267 38 125 102 145 3 125 117 4 175 169 292 157 136 122 152 126 290 54 1];

nCentres	= 11;
work_dist	= [45.737 53.684 20.726 43.525 54.157 54.257 44.239 29.998 44.055 34.231 42.784];
centre_cap	= [391 448 392 376 420 403 424 408 374 423 371];
instal_cost	= [750.34 222.3 401.422 727.677 184.754 759.26 146.111 69.535 679.426 413.79 972.323];

