D			= 7;

nLocations	= 32;
loc_x		= [67.145 38.708 34.551 28.216 53.231 38.452 50.354 58.052 43.608 29.918 47.235 63.916 57.658 59.712 33.326 59.939 23.307 25.289 24.81 49.401 24.233 48.944 57.307 64.935 46.147 65.507 65.119 59.58 33.206 37.081 43.758 50.019];
loc_y		= [57.702 28.144 49.635 51.713 59.49 42.896 39.666 28.641 24.842 26.825 31.295 28.277 33.362 61.477 37.624 41.485 31.192 26.014 41.024 45.125 66.633 67.673 22.232 40.504 56.907 47.708 53.349 48.062 61.689 32.485 65.454 49.728];

nCities		= 14;
city_x		= [45.494 42.34 48.301 44.024 40.772 49.832 44.766 48.584 42.208 44.045 45.094 43.656 44.15 47.779];
city_y		= [49.363 40.217 40.856 45.818 42.932 46.668 49.243 42.609 45.79 48.439 40.643 44.385 40.499 48.208];
city_pop	= [71 36 29 55 19 12 25 19 33 23 40 81 88 30];

nCentres	= 3;
work_dist	= [57.796 55.698 57.596];
centre_cap	= [127 110 110];
instal_cost	= [939.818 315.493 887.205];

