D			= 3;

nLocations	= 40;
loc_x		= [29.338 58.235 40.926 43.621 25.472 64.541 51.193 61.057 47.517 55.58 67.649 28.86 68.751 21.89 52.358 22.688 68.112 66.936 32.576 30.141 55.056 26.011 33.784 50.917 46.705 67.464 65.313 21.908 51.086 47.179 56.408 43.195 55.03 61.013 34.664 67.484 54.983 43.593 50.066 39.595];
loc_y		= [53.286 45.105 55.93 57.592 55.69 50.482 58.546 35.749 25.459 60.384 37.615 58.588 23.638 55.791 44.446 54.277 48.348 24.197 23.894 37.071 32.267 39.942 68.79 32.204 33.418 26.49 36.332 38.155 66.288 23.152 53.668 66.197 39.709 60.125 30.044 22.034 34.834 36.036 27.823 61.386];

nCities		= 23;
city_x		= [48.518 50.887 51.37 52.515 45.607 33.777 34.532 56.885 32.077 51.619 31.82 48.709 44.317 30.488 48.96 42.636 42.013 40.451 45.567 32.406 38.337 54.37 42.679];
city_y		= [51.741 46.769 55.857 42.384 31.739 37.616 58.044 45.889 42.319 44.89 32.694 36.504 47.912 38.498 58.973 48.777 44.703 59.616 54.87 49.223 37.329 33.01 56.598];
city_pop	= [118 48 72 145 1 68 146 31 41 199 192 165 122 198 174 150 52 118 2 16 91 67 172];

nCentres	= 6;
work_dist	= [41.034 39.075 43.033 46.202 46.209 34.405];
centre_cap	= [264 257 276 267 284 250];
instal_cost	= [427.395 849.816 756.84 360.71 811.881 460.016];

