D			= 3;

nLocations	= 44;
loc_x		= [69.387 57.916 62.436 50.834 53.573 15.976 29.161 31.408 33.988 27.144 53.282 25.354 67.598 61.261 24.925 72.04 46.267 38.766 40.772 29.412 31.13 29.831 21.401 60.406 21.179 57.57 59.66 72.356 65.459 53.534 52.95 42.765 26.439 74.304 57.877 43.247 44.354 19.593 45.826 48.548 31.331 33.775 29.896 57.025];
loc_y		= [26.488 29.491 48.677 18.191 34.237 44.57 53.509 73.971 32.765 64.064 25.752 18.767 55.649 67.512 50.87 35.311 51.206 32.261 36.39 49.022 57.057 18.799 38.017 69.199 21.945 69.008 59.894 19.466 18.89 50.159 35.995 66.338 19.615 22.414 15.805 66.972 59.253 66.971 55.698 61.199 27.343 35.386 38.465 25.608];

nCities		= 25;
city_x		= [45.681 56.007 48.548 49.312 52.538 55.872 57.975 42.95 55.038 40.673 42.748 32.151 55.962 32.672 50.401 37.132 41.668 41.281 38.638 48.517 44.44 55.072 51.622 34.023 58.974];
city_y		= [57.482 48.863 32.832 50.35 40.378 45.36 38.194 49.801 37.727 42.394 57.329 54.457 42.936 57.968 35.959 52.079 53.885 45.729 30.73 45.585 36.68 54.801 57.352 40.214 56.619];
city_pop	= [144 91 100 97 19 102 83 31 280 2 124 113 134 119 69 231 232 260 9 298 88 43 112 266 37];

nCentres	= 14;
work_dist	= [54.498 35.992 38.017 30.713 22.299 52.609 25.37 30.399 49.848 37.753 49.604 28.128 45.211 52.091];
centre_cap	= [409 378 449 399 413 372 391 429 446 403 448 423 427 427];
instal_cost	= [444.14 54.147 262.296 676.413 307.019 568.804 113.797 978.342 957.482 520.559 392.897 106.774 334.087 962.971];

