D			= 4;

nLocations	= 31;
loc_x		= [26.949 30.781 37.998 59.042 54.824 56.306 45.802 27.29 37.181 55.406 27.962 38.186 41.756 68.374 22.306 33.36 26.504 46.603 58.817 40.378 41.126 20.842 24.66 68.419 69.888 21.854 52.819 28.004 41.768 62.631 47.483];
loc_y		= [25.722 30.401 29.402 44.358 27.233 49.628 28.204 55.076 66.265 69.85 21.356 49.652 43.192 45.359 27.878 59.522 59.263 50.5 22.049 38.807 21.376 34.143 54.854 51.185 20.932 23.649 44.352 56.215 51.942 31.775 34.138];

nCities		= 18;
city_x		= [44.985 39.062 52.777 55.516 58.552 32.987 43.602 50.724 41.004 39.444 47.522 52.212 57.98 45.885 54.588 50.801 36.614 39.297];
city_y		= [50.498 30.694 34.464 46.568 51.798 33.54 39.393 43.095 45.45 56.565 30.019 52.235 59.085 44.309 39.611 59.594 42.925 51.226];
city_pop	= [34 147 130 61 25 7 77 107 78 62 87 73 153 18 136 162 66 172];

nCentres	= 8;
work_dist	= [38.548 39.876 39.171 41.222 48.441 41.505 34.209 41.285];
centre_cap	= [282 250 255 263 288 272 241 248];
instal_cost	= [915.433 96.019 18.268 154.537 815.564 826.973 538.762 160.498];

