D			= 3;

nLocations	= 47;
loc_x		= [36.366 35.518 38.806 56.526 37.022 35.166 59.68 22.881 63.069 65.615 24.626 63.724 30.533 67.893 45.95 68.924 61.251 24.856 31.805 45.962 25.042 23.213 52.387 23.501 43.334 43.53 61.853 37.037 49.164 54.525 57.8 64.016 51.465 41.814 28.418 30.004 47.74 53.742 28.619 49.718 44.178 43.404 26.104 58.236 69.778 47.427 54.186];
loc_y		= [42.362 64.452 49.72 61.304 25.621 51.799 22.25 60.345 68.881 43.625 27.776 48.343 62.242 61.138 69.177 39.443 44.308 54.718 32.003 30.015 49.133 68.689 62.521 41.212 51.021 32.173 64.718 35.894 39.032 35.748 49.589 60.577 22.119 45.513 41.051 26.387 32.428 55.924 56.004 26.634 66.502 27.992 62.578 64.476 20.344 51.071 67.039];

nCities		= 19;
city_x		= [50.509 38.6 54.651 34.864 56.592 34.392 41.935 40.151 38.446 42.818 55.472 39.589 44.82 34.311 37.734 45.97 57.089 57.169 50.094];
city_y		= [32.506 40.754 37.291 51.811 39.719 48.183 37.42 33.003 43.101 35.53 42.717 41.718 59.617 36.994 54.779 55.555 51.822 36.476 30.18];
city_pop	= [106 58 47 188 62 194 150 17 50 62 58 136 66 91 102 175 56 73 157];

nCentres	= 8;
work_dist	= [37.269 31.193 30.248 44.122 46.746 31.254 47.72 40.266];
centre_cap	= [270 277 262 278 258 280 244 250];
instal_cost	= [595.377 781.415 812.791 628.505 39.922 880.687 540.568 478.739];

