D			= 6;

nLocations	= 37;
loc_x		= [49.96 26.515 32.601 58.777 37.996 44.573 44.17 66.404 36.1 20.162 37.116 41.661 40.35 30.018 31.188 49.452 66.31 23.332 24.096 44.886 36.936 64.844 50.549 27.553 46.535 66.862 29.242 24.549 53.873 48.384 54.585 49.913 58.665 62.324 40.877 55.149 53.159];
loc_y		= [66.245 50.682 47.768 53.219 44.914 66.311 57.145 27.679 48.09 55.754 69.55 50.213 66.099 55.268 22.761 40.51 62.535 68.807 60.562 37.411 41.48 51.036 32.917 58.01 50.723 37.306 25.971 41.704 21.871 26.277 63.191 55.554 33.788 65.533 38.006 35.071 69.496];

nCities		= 11;
city_x		= [44.345 41.865 44.903 48.259 49.952 45.553 44.297 49.418 45.777 42.561 47.598];
city_y		= [48.257 44.252 47.843 45.873 48.107 48.223 40.283 45.119 43.774 47.61 44.901];
city_pop	= [7 30 44 94 59 97 73 44 18 48 91];

nCentres	= 2;
work_dist	= [53.464 58.598];
centre_cap	= [120 113];
instal_cost	= [589.012 225.674];

