D			= 7;

nLocations	= 42;
loc_x		= [35.933 32.599 51.597 35.457 54.369 23.035 59.198 49.882 54.697 21.956 61.432 49.097 65.512 48.411 25.549 65.877 40.024 66.538 58.834 41.947 66.021 43.524 38.69 65.337 36.009 21.902 67.224 27.868 37.794 39.015 48.904 26.895 48.567 32.107 26.752 45.689 48.495 54.684 55.182 60.79 20.267 30.116];
loc_y		= [55.937 68.155 20.404 25.865 50.613 21.554 23.26 29.407 43.935 51.796 63.482 36.09 39.926 66.791 47.237 21.917 20.39 56.235 33.346 43.275 48.377 55.974 48.229 29.107 40.116 39.69 66.383 40.609 64.509 31.531 42.0 25.936 52.925 51.289 58.379 23.524 59.572 58.801 68.789 55.02 60.374 33.243];

nCities		= 21;
city_x		= [53.491 43.859 37.867 36.135 55.985 44.5 52.488 46.563 32.215 50.946 50.645 32.508 45.273 40.377 52.452 54.413 49.096 30.203 38.845 30.213 58.911];
city_y		= [35.361 37.051 58.036 45.657 58.495 34.387 57.147 58.128 31.209 38.637 42.932 33.715 38.36 30.484 33.644 42.097 37.352 42.102 47.214 50.393 56.19];
city_pop	= [177 171 187 29 36 142 140 164 112 30 141 138 173 45 71 191 184 112 164 79 108];

nCentres	= 8;
work_dist	= [35.227 38.934 32.724 41.226 30.192 49.597 31.189 39.386];
centre_cap	= [267 251 263 253 289 263 250 254];
instal_cost	= [683.091 778.37 881.805 195.884 633.32 307.59 308.844 48.511];

